,    1,    7840,   20060801, ARG, ARGH                , Texas               ,cf2006    
13366,12.0,5886.0,20060909.0, ARG, ARGH                , Oklahoma            ,cf2006    
13367,13.0,74.0,20060909.0, ARG, ARGH                , Alabama             ,cf2006    
13368,14.0,7918.0,20060909.0, ARG, ARGH                , Texas Tech          ,cf2006    
13369,15.0,2666.0,20060909.0, ARG, ARGH                , Florida St          ,cf2006    
13370,16.0,5961.0,20060909.0, ARG, ARGH                , Oregon              ,cf2006    
13371,17.0,4224.0,20060909.0, ARG, ARGH                , Louisville          ,cf2006    
13372,18.0,8716.0,20060909.0, ARG, ARGH                , West Virginia       ,cf2006    
13373,19.0,6114.0,20060909.0, ARG, ARGH                , Penn St             ,cf2006    
13374,20.0,4719.0,20060909.0, ARG, ARGH                , Miami FL            ,cf2006    
13375,21.0,3540.0,20060909.0, ARG, ARGH                , Iowa                ,cf2006    
13376,22.0,7878.0,20060909.0, ARG, ARGH                , TCU                 ,cf2006    
13377,23.0,1603.0,20060909.0, ARG, ARGH                , Clemson             ,cf2006    
13378,24.0,9031.0,20060909.0, ARG, ARGH                , Wisconsin           ,cf2006    
13379,25.0,1098.0,20060909.0, ARG, ARGH                , California          ,cf2006    
13380,26.0,8141.0,20060909.0, ARG, ARGH                , UCLA                ,cf2006    
13381,27.0,5279.0,20060909.0, ARG, ARGH                , Nebraska            ,cf2006    
13382,28.0,7801.0,20060909.0, ARG, ARGH                , Tennessee           ,cf2006    
13383,29.0,304.0,20060909.0, ARG, ARGH                , Arizona St          ,cf2006    
13384,30.0,4858.0,20060909.0, ARG, ARGH                , Minnesota           ,cf2006    
13385,31.0,7848.0,20060909.0, ARG, ARGH                , Texas A&M           ,cf2006    
13386,32.0,2911.0,20060909.0, ARG, ARGH                , Georgia Tech        ,cf2006    
13387,33.0,6236.0,20060909.0, ARG, ARGH                , Pittsburgh          ,cf2006    
13388,34.0,771.0,20060909.0, ARG, ARGH                , Boise St            ,cf2006    
13389,35.0,3554.0,20060909.0, ARG, ARGH                , Iowa St             ,cf2006    
13390,36.0,4474.0,20060909.0, ARG, ARGH                , Maryland            ,cf2006    
13391,37.0,4757.0,20060909.0, ARG, ARGH                , Michigan St         ,cf2006    
13392,38.0,6696.0,20060909.0, ARG, ARGH                , Rutgers             ,cf2006    
13393,39.0,4948.0,20060909.0, ARG, ARGH                , Missouri            ,cf2006    
13394,40.0,2776.0,20060909.0, ARG, ARGH                , Fresno St           ,cf2006    
13395,41.0,8315.0,20060909.0, ARG, ARGH                , Utah                ,cf2006    
13396,42.0,8508.0,20060909.0, ARG, ARGH                , Wake Forest         ,cf2006    
13397,43.0,316.0,20060909.0, ARG, ARGH                , Arkansas            ,cf2006    
13398,44.0,7242.0,20060909.0, ARG, ARGH                , South Carolina      ,cf2006    
13399,45.0,891.0,20060909.0, ARG, ARGH                , BYU                 ,cf2006    
13400,46.0,7933.0,20060909.0, ARG, ARGH                , UTEP                ,cf2006    
13401,47.0,6393.0,20060909.0, ARG, ARGH                , Purdue              ,cf2006    
13402,48.0,8588.0,20060909.0, ARG, ARGH                , Washington St       ,cf2006    
13403,49.0,5912.0,20060909.0, ARG, ARGH                , Oklahoma St         ,cf2006    
13404,50.0,7278.0,20060909.0, ARG, ARGH                , South Florida       ,cf2006    
13405,51.0,3731.0,20060909.0, ARG, ARGH                , Kansas St           ,cf2006    
13406,52.0,5511.0,20060909.0, ARG, ARGH                , NC State            ,cf2006    
