,    1,    2625,   20090801, ARG, ARGH                , Florida             ,cf2009    
14501,33.0,5749.0,20090912.0, ARG, ARGH                , Notre Dame          ,cf2009    
14502,34.0,3347.0,20090912.0, ARG, ARGH                , Houston             ,cf2009    
14503,35.0,5961.0,20090912.0, ARG, ARGH                , Oregon              ,cf2009    
14504,36.0,783.0,20090912.0, ARG, ARGH                , Boston College      ,cf2009    
14505,37.0,8099.0,20090912.0, ARG, ARGH                , Tulsa               ,cf2009    
14506,38.0,294.0,20090912.0, ARG, ARGH                , Arizona             ,cf2009    
14507,39.0,7582.0,20090912.0, ARG, ARGH                , Stanford            ,cf2009    
14508,40.0,7365.0,20090912.0, ARG, ARGH                , Southern Miss       ,cf2009    
14509,41.0,3781.0,20090912.0, ARG, ARGH                , Kentucky            ,cf2009    
14510,42.0,1603.0,20090912.0, ARG, ARGH                , Clemson             ,cf2009    
14511,43.0,9031.0,20090912.0, ARG, ARGH                , Wisconsin           ,cf2009    
14512,44.0,4757.0,20090912.0, ARG, ARGH                , Michigan St         ,cf2009    
14513,45.0,2666.0,20090912.0, ARG, ARGH                , Florida St          ,cf2009    
14514,46.0,557.0,20090912.0, ARG, ARGH                , Baylor              ,cf2009    
14515,47.0,4858.0,20090912.0, ARG, ARGH                , Minnesota           ,cf2009    
14516,48.0,8367.0,20090912.0, ARG, ARGH                , Vanderbilt          ,cf2009    
14517,49.0,4741.0,20090912.0, ARG, ARGH                , Michigan            ,cf2009    
14518,50.0,7801.0,20090912.0, ARG, ARGH                , Tennessee           ,cf2009    
14519,51.0,4719.0,20090912.0, ARG, ARGH                , Miami FL            ,cf2009    
14520,52.0,316.0,20090912.0, ARG, ARGH                , Arkansas            ,cf2009    
14521,53.0,3425.0,20090912.0, ARG, ARGH                , Illinois            ,cf2009    
14522,54.0,7242.0,20090912.0, ARG, ARGH                , South Carolina      ,cf2009    
14523,55.0,7848.0,20090912.0, ARG, ARGH                , Texas A&M           ,cf2009    
14524,56.0,1872.0,20090912.0, ARG, ARGH                , Connecticut         ,cf2009    
14525,57.0,5511.0,20090912.0, ARG, ARGH                , NC State            ,cf2009    
14526,58.0,55.0,20090912.0, ARG, ARGH                , Air Force           ,cf2009    
14527,59.0,1404.0,20090912.0, ARG, ARGH                , C Michigan          ,cf2009    
14528,60.0,6696.0,20090912.0, ARG, ARGH                , Rutgers             ,cf2009    
14529,61.0,304.0,20090912.0, ARG, ARGH                , Arizona St          ,cf2009    
14530,62.0,2292.0,20090912.0, ARG, ARGH                , East Carolina       ,cf2009    
14531,63.0,5253.0,20090912.0, ARG, ARGH                , Navy                ,cf2009    
14532,64.0,5704.0,20090912.0, ARG, ARGH                , Northwestern        ,cf2009    
14533,65.0,2776.0,20090912.0, ARG, ARGH                , Fresno St           ,cf2009    
14534,66.0,3197.0,20090912.0, ARG, ARGH                , Hawaii              ,cf2009    
14535,67.0,8068.0,20090912.0, ARG, ARGH                , Troy                ,cf2009    
14536,68.0,6393.0,20090912.0, ARG, ARGH                , Purdue              ,cf2009    
14537,69.0,821.0,20090912.0, ARG, ARGH                , Bowling Green       ,cf2009    
14538,70.0,4474.0,20090912.0, ARG, ARGH                , Maryland            ,cf2009    
14539,71.0,333.0,20090912.0, ARG, ARGH                , Arkansas St         ,cf2009    
14540,72.0,66.0,20090912.0, ARG, ARGH                , Akron               ,cf2009    
14541,73.0,5316.0,20090912.0, ARG, ARGH                , Nevada              ,cf2009    
14542,74.0,4224.0,20090912.0, ARG, ARGH                , Louisville          ,cf2009    
14543,75.0,1380.0,20090912.0, ARG, ARGH                , UCF                 ,cf2009    
14544,76.0,5323.0,20090912.0, ARG, ARGH                , UNLV                ,cf2009    
14545,77.0,3484.0,20090912.0, ARG, ARGH                , Indiana             ,cf2009    
14546,78.0,1753.0,20090912.0, ARG, ARGH                , Colorado St         ,cf2009    
14547,79.0,979.0,20090912.0, ARG, ARGH                , Buffalo             ,cf2009    
14548,80.0,4936.0,20090912.0, ARG, ARGH                , Mississippi St      ,cf2009    
14549,81.0,4785.0,20090912.0, ARG, ARGH                , MTSU                ,cf2009    
14550,82.0,4194.0,20090912.0, ARG, ARGH                , ULL                 ,cf2009    
14551,83.0,1715.0,20090912.0, ARG, ARGH                , Colorado            ,cf2009    
14552,84.0,4436.0,20090912.0, ARG, ARGH                , Marshall            ,cf2009    
14553,85.0,8432.0,20090912.0, ARG, ARGH                , Virginia            ,cf2009    
14554,86.0,2638.0,20090912.0, ARG, ARGH                , FL Atlantic         ,cf2009    
14555,87.0,7978.0,20090912.0, ARG, ARGH                , Toledo              ,cf2009    
14556,88.0,4200.0,20090912.0, ARG, ARGH                , ULM                 ,cf2009    
14557,89.0,7024.0,20090912.0, ARG, ARGH                , San Jose St         ,cf2009    
14558,90.0,4218.0,20090912.0, ARG, ARGH                , Louisiana Tech      ,cf2009    
14559,91.0,5634.0,20090912.0, ARG, ARGH                , N Illinois          ,cf2009    
14560,92.0,87.0,20090912.0, ARG, ARGH                , UAB                 ,cf2009    
14561,93.0,5825.0,20090912.0, ARG, ARGH                , Ohio                ,cf2009    
14562,94.0,3731.0,20090912.0, ARG, ARGH                , Kansas St           ,cf2009    
14563,95.0,7358.0,20090912.0, ARG, ARGH                , SMU                 ,cf2009    
14564,96.0,2265.0,20090912.0, ARG, ARGH                , Duke                ,cf2009    
14565,97.0,9162.0,20090912.0, ARG, ARGH                , Wyoming             ,cf2009    
14566,98.0,8767.0,20090912.0, ARG, ARGH                , W Michigan          ,cf2009    
