,      74,    1,   20120801, ARG, ARGH                , Alabama             ,cf2012    
10840,5970.0,55.0,20120903.0, ARG, ARGH                , Oregon St           ,cf2012    
10841,1872.0,56.0,20120903.0, ARG, ARGH                , Connecticut         ,cf2012    
10842,5634.0,57.0,20120903.0, ARG, ARGH                , N Illinois          ,cf2012    
10843,5825.0,58.0,20120903.0, ARG, ARGH                , Ohio                ,cf2012    
10844,4218.0,59.0,20120903.0, ARG, ARGH                , Louisiana Tech      ,cf2012    
10845,8432.0,60.0,20120903.0, ARG, ARGH                , Virginia            ,cf2012    
10846,7365.0,61.0,20120903.0, ARG, ARGH                , Southern Miss       ,cf2012    
10847,6236.0,62.0,20120903.0, ARG, ARGH                , Pittsburgh          ,cf2012    
10848,5704.0,63.0,20120903.0, ARG, ARGH                , Northwestern        ,cf2012    
10849,783.0,64.0,20120903.0, ARG, ARGH                , Boston College      ,cf2012    
10850,4725.0,65.0,20120903.0, ARG, ARGH                , Miami OH            ,cf2012    
10851,304.0,66.0,20120903.0, ARG, ARGH                , Arizona St          ,cf2012    
10852,1380.0,67.0,20120903.0, ARG, ARGH                , UCF                 ,cf2012    
10853,7729.0,68.0,20120903.0, ARG, ARGH                , Syracuse            ,cf2012    
10854,4436.0,69.0,20120903.0, ARG, ARGH                , Marshall            ,cf2012    
10855,294.0,70.0,20120903.0, ARG, ARGH                , Arizona             ,cf2012    
10856,2652.0,71.0,20120903.0, ARG, ARGH                , Florida Intl        ,cf2012    
10857,4920.0,72.0,20120903.0, ARG, ARGH                , Mississippi         ,cf2012    
10858,4474.0,73.0,20120903.0, ARG, ARGH                , Maryland            ,cf2012    
10859,3771.0,74.0,20120903.0, ARG, ARGH                , Kent                ,cf2012    
10860,2265.0,75.0,20120903.0, ARG, ARGH                , Duke                ,cf2012    
10861,3781.0,76.0,20120903.0, ARG, ARGH                , Kentucky            ,cf2012    
10862,8508.0,77.0,20120903.0, ARG, ARGH                , Wake Forest         ,cf2012    
10863,821.0,78.0,20120903.0, ARG, ARGH                , Bowling Green       ,cf2012    
10864,7002.0,79.0,20120903.0, ARG, ARGH                , San Diego St        ,cf2012    
10865,4194.0,80.0,20120903.0, ARG, ARGH                , ULL                 ,cf2012    
10866,333.0,81.0,20120903.0, ARG, ARGH                , Arkansas St         ,cf2012    
10867,7358.0,82.0,20120903.0, ARG, ARGH                , SMU                 ,cf2012    
10868,4858.0,83.0,20120903.0, ARG, ARGH                , Minnesota           ,cf2012    
10869,8767.0,84.0,20120903.0, ARG, ARGH                , W Michigan          ,cf2012    
10870,8761.0,85.0,20120903.0, ARG, ARGH                , WKU                 ,cf2012    
10871,2292.0,86.0,20120903.0, ARG, ARGH                , East Carolina       ,cf2012    
10872,7788.0,87.0,20120903.0, ARG, ARGH                , Temple              ,cf2012    
10873,9162.0,88.0,20120903.0, ARG, ARGH                , Wyoming             ,cf2012    
10874,8325.0,89.0,20120903.0, ARG, ARGH                , Utah St             ,cf2012    
10875,1404.0,90.0,20120903.0, ARG, ARGH                , C Michigan          ,cf2012    
10876,7978.0,91.0,20120903.0, ARG, ARGH                , Toledo              ,cf2012    
10877,5253.0,92.0,20120903.0, ARG, ARGH                , Navy                ,cf2012    
