,    1,    5850,   20080801, ARG, ARGH                , Ohio St             ,cf2008    
8059,86.0,3554.0,20080901.0, ARG, ARGH                , Iowa St             ,cf2008    
8060,87.0,5253.0,20080901.0, ARG, ARGH                , Navy                ,cf2008    
8061,88.0,4200.0,20080901.0, ARG, ARGH                , ULM                 ,cf2008    
8062,89.0,7729.0,20080901.0, ARG, ARGH                , Syracuse            ,cf2008    
8063,90.0,979.0,20080901.0, ARG, ARGH                , Buffalo             ,cf2008    
8064,91.0,4725.0,20080901.0, ARG, ARGH                , Miami OH            ,cf2008    
8065,92.0,333.0,20080901.0, ARG, ARGH                , Arkansas St         ,cf2008    
8066,93.0,7788.0,20080901.0, ARG, ARGH                , Temple              ,cf2008    
8067,94.0,5323.0,20080901.0, ARG, ARGH                , UNLV                ,cf2008    
8068,95.0,4218.0,20080901.0, ARG, ARGH                , Louisiana Tech      ,cf2008    
8069,96.0,6535.0,20080901.0, ARG, ARGH                , Rice                ,cf2008    
8070,97.0,557.0,20080901.0, ARG, ARGH                , Baylor              ,cf2008    
8071,98.0,7978.0,20080901.0, ARG, ARGH                , Toledo              ,cf2008    
8072,99.0,7024.0,20080901.0, ARG, ARGH                , San Jose St         ,cf2008    
8073,100.0,5825.0,20080901.0, ARG, ARGH                , Ohio                ,cf2008    
8074,101.0,7933.0,20080901.0, ARG, ARGH                , UTEP                ,cf2008    
8075,102.0,4636.0,20080901.0, ARG, ARGH                , Memphis             ,cf2008    
8076,103.0,3771.0,20080901.0, ARG, ARGH                , Kent                ,cf2008    
8077,104.0,8092.0,20080901.0, ARG, ARGH                , Tulane              ,cf2008    
8078,105.0,7002.0,20080901.0, ARG, ARGH                , San Diego St        ,cf2008    
8079,106.0,2265.0,20080901.0, ARG, ARGH                , Duke                ,cf2008    
8080,107.0,8761.0,20080901.0, ARG, ARGH                , WKU                 ,cf2008    
8081,108.0,2353.0,20080901.0, ARG, ARGH                , E Michigan          ,cf2008    
8082,109.0,66.0,20080901.0, ARG, ARGH                , Akron               ,cf2008    
